ticker,exchange,icb2,icb3,icb4,market_cap,adtv_20d,status,reject_reason,as_of,source,data_status,filter_stage,reason_label,trigger_metric,trigger_value,threshold_or_cutoff
PCC,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,32723000.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PCF,UPCOM,THỰC PHẨM VÀ ĐỒ UỐNG,BIA VÀ ĐỒ UỐNG,ĐỒ UỐNG & GIẢI KHÁT,,4240500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PCG,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,46850500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PCM,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,8145000.0,REJECTED,LOW_LIQUIDITY,2026-06-10,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PDC,UPCOM,DU LỊCH VÀ GIẢI TRÍ,DU LỊCH & GIẢI TRÍ,VẬN TẢI HÀNH KHÁCH & DU LỊCH,,2362500.0,REJECTED,LOW_LIQUIDITY,2026-06-18,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PEG,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,7019500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PEQ,UPCOM,DẦU KHÍ,"THIẾT BỊ, DỊCH VỤ VÀ PHÂN PHỐI DẦU KHÍ",THIẾT BỊ VÀ DỊCH VỤ DẦU KHÍ,,28288645.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PFL,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,79013500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PGB,UPCOM,NGÂN HÀNG,NGÂN HÀNG,NGÂN HÀNG,,418521214.5,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PHH,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,40406500.0,REJECTED,LOW_LIQUIDITY,2026-06-05,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PHS,UPCOM,DỊCH VỤ TÀI CHÍNH,DỊCH VỤ TÀI CHÍNH,MÔI GIỚI CHỨNG KHOÁN,,44076908.5,REJECTED,LOW_LIQUIDITY,2026-06-26,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PID,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,0.0,REJECTED,LOW_LIQUIDITY,2024-07-25,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PIS,UPCOM,TÀI NGUYÊN CƠ BẢN,LÂM NGHIỆP VÀ GIẤY,LÂM SẢN VÀ CHẾ BIẾN GỖ,,5739500.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PJS,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,10869000.0,REJECTED,LOW_LIQUIDITY,2026-06-29,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PLA,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,16655500.0,REJECTED,LOW_LIQUIDITY,2026-06-25,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PLE,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,28188500.0,REJECTED,LOW_LIQUIDITY,2025-12-04,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PLO,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,"KHO BÃI, HẬU CẦN VÀ BẢO DƯỠNG",,7911500.0,REJECTED,LOW_LIQUIDITY,2026-06-16,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PMJ,UPCOM,CÔNG NGHỆ THÔNG TIN,THIẾT BỊ VÀ PHẦN CỨNG,THIẾT BỊ VIỄN THÔNG,,15431000.0,REJECTED,LOW_LIQUIDITY,2026-06-30,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PMT,UPCOM,CÔNG NGHỆ THÔNG TIN,THIẾT BỊ VÀ PHẦN CỨNG,THIẾT BỊ VIỄN THÔNG,,15755500.0,REJECTED,LOW_LIQUIDITY,2026-06-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
