ticker,exchange,icb2,scope,coverage_status,data_status_reason,other_current_assets,statement_statuses,source_modes
BGE,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BIC,HOSE,BẢO HIỂM,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""REQUIRED_ITEM_AMBIGUOUS"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BID,HOSE,NGÂN HÀNG,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BIG,UPCOM,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BKG,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BMI,HOSE,BẢO HIỂM,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""REQUIRED_ITEM_AMBIGUOUS"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BMP,HOSE,XÂY DỰNG VÀ VẬT LIỆU,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BMS,UPCOM,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BNA,HNX,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BOT,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BSI,HOSE,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BSR,HOSE,DẦU KHÍ,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BVB,UPCOM,NGÂN HÀNG,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BVH,HOSE,BẢO HIỂM,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""REQUIRED_ITEM_AMBIGUOUS"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
